Disease_Code,Symptoms
D044,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract"
D045,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)"
D046,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue"
D047,"Swollen salivary glands (usually parotid), fever, headache, fatigue"
D048,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus"
D049,"Abdominal pain, high blood pressure, kidney cysts"
D050,"Joint pain, swelling, stiffness, limited range of motion, fever, rash"
D051,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination"
D052,"Swelling, pain, dry mouth, bad taste"
D053,Difficulty swallowing
D054,Repeated regurgitation and re-chewing of food
D055,"Persistent cough with yellow or green mucus, chest congestion, fatigue"
D056,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain"
D057,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)"
D058,"Difficulty breathing, rapid breathing, chest pain"
D059,"Extreme weight loss, fear of gaining weight, distorted body image"
D060,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions"
D061,High blood pressure during pregnancy
D062,"Eye pain, blurred vision, sensitivity to light"
D063,"Gradual loss of peripheral vision, tunnel vision"
D064,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas"
D065,"Eye pain, redness, foreign body sensation, sensitivity to light"
D066,"Heartburn, chest pain, difficulty swallowing"
D067,"increased thirst, frequent urination, fatigue"
D068,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)"
D069,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting"
D070,"Persistent head pain, tension in neck and shoulders"
D071,"Decreased urine output, fluid retention, fatigue"
D072,"Sore throat, fever, rash (red, sandpaper-like), swollen glands"
D073,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing"
D074,"Thickening of the skin, Raynaud's phenomenon"
D075,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue"
D076,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures"
D077,Persistent consumption of non-food substances
D078,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress"
D079,"Mild to moderate head pain, tightness or pressure sensation on both sides of head"
D080,"cough, weight loss, fever, night sweats"
D081,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain"
D082,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold"
D083,"Tremors, stiffness, slowness of movement"
D084,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)"
D085,Painless fluid-filled swelling in the oral cavity
D086,"Fever, chest pain, productive cough with foul-smelling or bloody sputum"
D087,"Visible bulge or swelling, discomfort or pain"
D088,"Joint swelling, pain, warmth, limited range of motion"
D089,"Lower back pain, discomfort in the pelvic area"
D090,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion"
D091,"Abdominal pain, bloating, changes in bowel movements"
D092,"Dry, flaky skin with itching"
D093,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol"
D094,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting"
D095,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area"
D096,"Fragile bones, loss of height over time, back pain, fractures"
D097,"Excessively concentrated urine, low blood sodium levels"
D098,"Muscle weakness, fatigue, difficulty speaking"
D099,"Neck pain, stiffness, and abnormal head positioning"
D100,"Intense burning pain, swelling, changes in skin temperature"
D101,"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever"
D102,"Eye redness, severe eye pain, blurred vision"
D103,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss"
D104,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)"
D105,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss"
D106,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis "
D107,"Tingling, numbness, and pain in the hand and fingers"
D108,"Blurred or distorted central vision, blind spots"
D109,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse"
D110,"Joint pain, stiffness, swelling, reduced range of motion"
D111,"Weakness, numbness, tingling in limbs"
D112,"Intense itching, visible lice or nits in the affected area"
D113,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms"
D114,"Severe pain in the side or back, blood in the urine, frequent urination"
D115,"Various symptoms depending on the specific disorder, including hormonal imbalances"
D116,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea"
D117,"High fever, body aches, fatigue, cough, sore throat, congestion"
D118,"Swollen lymph nodes, fever, fatigue, headache, rash"
D119,Severe nausea and vomiting during pregnancy
D120,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss"
D121,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising"
D122,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)"
D123,"Sedation, drowsiness, slurred speech, confusion, respiratory depression"
D124,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating"
D125,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling"
D126,"Lump, swelling, Facial changes"
D127,"Joint pain, stiffness, swelling"
D128,"Swelling, pain, dry mouth, bad taste"
D129,"Sore throat, difficulty swallowing, swollen lymph nodes"
D130,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever"
D131,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting"
D132,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels"
D133,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off"
D134,"Red, itchy, and oily patches of skin, dandruff, flaky scalp"
D135,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants"
D136,"Impaired memory and cognition, altered judgment, anxiety"
D137,"Ear pain, hearing loss, recurrent ear infections"
D138,Growth on the conjunctiva (white part of the eye)
D139,"Confusion, forgetfulness, personality changes, tremors"
D140,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone"
D141,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell"
D142,"Elevated intraocular pressure, visual field loss"
D143,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity"
D144,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding"
D145,"Hair loss or balding, patchy or generalized hair loss"
D146,"Muscle pain and stiffness, joint pain, fatigue"
D147,"Bone pain, fractures, fatigue, unexplained weight loss"
D148,"High blood pressure, proteinuria, swelling, headaches, visual disturbances"
D149,"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs"
D150,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance"
D151,"Fatigue, weight loss, organ dysfunction"
D152,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage"
D153,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage"
D154,"Breast lump, changes in breast size or shape, nipple changes, breast pain"
D155,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)"
D156,"Double vision, Eye fatigue, Poor depth perception, Head tilting"
D157,"Vertigo, hearing loss, tinnitus, ear fullness"
D158,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments"
D159,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure"
D160,Swelling of the scrotum
D161,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits"
D162,"Pelvic pain, painful periods, infertility"
D163,"Flank pain, urinary frequency, swelling in the abdomen"
D164,"Facial weakness or paralysis, drooping of the mouth or eyelid"
D165,"Pain, swelling, redness, discharge from the nose"
D166,"Frequent urination, urgency, pelvic pain"
D167,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss"
D168,"Muscle stiffness, tremors, involuntary movements"
D169,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss"
D170,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other"
D171,"Muscle weakness, loss of sensation, chronic pain"
D172,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts"
D173,"Swollen, itchy, or painful veins in the rectal area"
D174,"Joint pain, swelling, tenderness, limited range of motion"
D175,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)"
D176,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms"
D177,"Fatigue, weakness, pale skin, shortness of breath, jaundice"
D178,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)"
D179,"Fatigue, shortness of breath, heart palpitations"
D180,"Enlarged, swollen veins, often in the legs"
D181,Frequent episodes of stone formation
D182,Elevated intraocular pressure without optic nerve damage
D183,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation."
D184,"Abdominal pain, bloating, heartburn, nausea, acidic taste"
D185,"Severe eye pain, blurred vision, halos around lights"
D186,"Shaking, dizziness, confusion, sweating"
D187,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg"
D067,"Fatigue, Increased hunger, Slow healing of wounds"
D188,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin"
D189,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)"
D190,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness"
D191,"Skin sores, fever, weight loss, enlarged spleen or liver"
D192,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness"
D193,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures"
D194,"Shoulder pain, swelling, limited range of motion"
D195,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever"
D196,"Headache, fever, confusion, seizures, neurological symptoms"
D197,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms"
D198,"Painful lump or swelling on the eyelid, redness, tenderness"
D199,"Knee pain, swelling, inability to straighten the leg"
D200,"Redness, itching, watery discharge, swollen eyelids"
D201,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding"
D202,Lack of menstrual periods
D203,"Severe headaches, nausea, sensitivity to light and sound"
D204,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth"
D205,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system"
D206,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain"
D207,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea"
D208,"Gradual loss of vision, visual field defects"
D209,throbbing headache
D210,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling"
D211,"Headache, dizziness, nausea, confusion"
D212,"Eye pain, swelling, redness, vision changes"
D213,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum"
D214,"Nausea, vomiting, diarrhea, neurological symptoms"
D215,"Itchy, red, inflamed skin, rash"
D216,"Cough, fever, chest pain, difficulty breathing"
D217,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive"
D218,"Reduced hearing sensitivity, muffled or blocked sound"
D219,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite"
D220,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools"
D221,"Sunburn-like rash, redness, itching"
D222,"Painful urination, abnormal discharge from the genitals, pelvic pain"
D223,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue"
D224,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes"
D225,"Fatigue, weakness, bone pain, frequent urination, kidney stones"
D226,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite"
D227,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking"
D228,"Swelling in arms or legs, feeling of heaviness or tightness"
D229,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)"
D230,"Joint pain, stiffness, swelling, fatigue, loss of appetite"
D231,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema"
D187,Pain radiating from the lower back to the leg
D232,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever"
D233,"Fatigue, frequent infections, easy bruising or bleeding"
D234,"Skipped or extra heartbeats, palpitations, lightheadedness"
D235,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling"
D236,"Headache, fever, fatigue, cough, meningitis, pneumonia"
D237,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite"
D238,"Mood swings, bloating, breast tenderness, irritability"
D239,"Increased energy and alertness, decreased appetite, rapid heartbeat"
D240,"Sudden, intense urge to urinate followed by involuntary urine leakage"
D241,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies"
D242,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia"
D243,"Rough, scaly patches on the skin, usually in sun-exposed areas"
D244,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy "
D245,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss"
D246,"Dry mouth and eyes, fatigue, joint pain, dry skin"
D247,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate"
D248,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance"
D249,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting"
D187,"Lower back pain, leg pain, numbness or tingling"
D250,"Joint pain, fatigue, skin rashes"
D251,"Yellowing of the skin and eyes, pale stools, dark urine"
D252,"Abdominal pain, vomiting blood, bloody or black stools"
D253,"Swelling, severe pain, inability to bear weight"
D254,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse"
D255,"Obsessive focus on ""clean"" eating, healthy food choices"
D256,"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain"
D257,"Vaginal bleeding, painless bleeding in the third trimester"
D258,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice"
D259,"Swollen, red, tender gums, bleeding gums"
D260,"Chest pain, shortness of breath, palpitations"
D261,Itching and visible presence of lice or nits (eggs) in the hair
D262,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness "
D263,"Blurred vision, halos around lights, eye pain"
D264,"Swelling, pain, redness, fever, pus formation"
D265,"Muscle weakness, pain, inflammation"
D266,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool"
D267,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite"
D268,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin"
D269,"Rash, itching, redness, peeling skin"
D270,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)"
D271,"Extreme fatigue, cognitive difficulties, unrefreshing sleep"
D272,"Vaginal bleeding, abdominal cramps, pelvic pain"
D273,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights"
D274,"Raised, itchy welts on the skin"
D275,"Floaters in vision, blurry vision, eye pain"
D276,Recurrent episodes of binge eating without compensatory behaviors
D277,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes"
D278,Unintentional urine leakage during physical activity
D279,"Vertigo, dizziness, nausea, hearing loss, ear pain"
D280,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years"
D281,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination"
D282,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges"
D283,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures"
D284,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby"
D285,"Pain, swelling, bruising, difficulty walking"
D286,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache"
D287,"Motor, cognitive, and psychiatric symptoms"
D288,"Fatigue, sore throat, swollen lymph nodes"
D289,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)"
D290,"Headaches, nausea, seizures, changes in coordination or balance"
D291,"Swollen lymph nodes, unexplained weight loss, fatigue"
D256,"Painful urination, frequent urination, pelvic pain, cloudy urine"
D292,Sudden onset of neurological symptoms that resolve within 24 hours
D293,"Gradual loss of vision, visual field defects"
D294,"Fatigue, weight changes, mood swings, dry skin"
D295,"Blood in urine, frequent urination, pelvic pain"
D296,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising"
D085,"Painless swelling, usually on the lower lip or floor of the mouth"
D297,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures"
D298,"Fever, fatigue, body aches, heart and digestive problems"
D299,"Fatigue, pale skin, frequent infections, easy bleeding or bruising"
D300,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)"
D162,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility"
D301,"Red, scaly patches on the skin, itching"
D302,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise"
D303,"Fatigue, weakness, pale skin, shortness of breath"
D304,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities"
D305,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear"
D306,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function"
D307,Sharp or aching pain in the lower abdomen or groin
D308,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors"
D309,"Painless lump or swelling, Facial changes"
D310,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems"
D311,Recurrent episodes of binge eating followed by purging behaviors
D312,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress"
D313,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face"
D221,"Redness, itching, rash, blistering"
D314,"Fatigue, weakness, shortness of breath, pale skin"
D315,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities"
D316,"Ear pain, fever, fluid drainage from the ear"
D317,"Abdominal or flank pain, blood in urine, frequent urination"
D318,"Surgical site pain, discomfort, swelling"
D319,"Persistent knee pain, stiffness, swelling, limited range of motion"
D320,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool"
D321,"Fatigue, swollen and bleeding gums, joint pain"
D322,"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination"
D323,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger"
D324,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss"
D325,"Joint pain, fever, rash, heart inflammation"
D326,"Wheezing, shortness of breath, chest tightness"
D327,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching"
D328,Symptoms that do not meet the full criteria for a specific eating disorder
D329,"Fatigue, weakness, pale skin"
D330,Painful blisters on the skin and mucous membranes
D331,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs"
D332,"Redness, swelling, discharge, foul odor around the umbilical area"
D333,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding"
D334,"Localized muscle pain, trigger points"
D335,"Hoarseness, Vocal Changes, Vocal Fatigue"
D336,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness"
D337,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes"
D338,"Fatigue, nausea, excessive thirst, kidney stones"
D339,Varies depending on the underlying cause
D340,"Rash, itching, swelling, fever, respiratory symptoms"
D341,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)"
D342,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts"
D100,"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness"
D343,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters"
D344,"Abdominal or back pain, unexplained weight loss, hormonal imbalances"
D345,"Headache, fever, neurological deficits"
D346,"Lump, swelling, Facial numbness, tingling"
D347,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity"
D348,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief"
D349,"Small, painful blisters on the lips or around the mouth"
D350,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure"
D351,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing"
D352,"Frequent urination, Increased thirst, Weight loss"
D353,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm"
D354,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing"
D355,"Itchy, red rash caused by contact with irritants or allergens"
D356,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles"
D357,"Redness, swelling, discharge from the wound"
D358,"Recurrent, disabling migraines"
